랭킹	지역	상호명	업종	주소	경도	위도
7031	경기	바샤미치	양식	성남시 분당구 서현동	127.1344371	37.38226
7032	전북	국수꽃	한식	전주시 완산구 전동	127.1483436	35.8135739
7033	서울	값진식육	한식	영등포구 문래동3가	126.8957105	37.517267
7034	서울	고우	일식	용산구 이태원동	126.9925274	37.5385142
7035	서울	홍밀밀(Hongmilmil)	카페/주점	서울시 중구 명동2가	126.9852491	37.5629061
7036	서울	내가찜한닭 신촌점	한식	서대문구 창천동	126.9342153	37.5586991
7037	충남	맛찬들왕소금구이 천안신방점	한식	천안시 동남구 신방동	127.1271666	36.7777898
7038	서울	카니발피자 강남점	양식	강남구 역삼동	127.0385535	37.5000807
7039	강원	최옥란할머니순두부	한식	강원 속초시 노학동	128.5298905	38.190599
7040	전북	메카닉	카페/주점	전북 군산시 신창동	126.7100174	35.9867301
7041	강원	더디온	카페/주점	강원 홍천군 서면	127.6350623	37.6672343
7042	충북	트렁크다이닝	양식	청주시 흥덕구 복대동	127.4386306	36.6352601
7043	제주	월정역	분식	제주 제주시 구좌읍	126.7954453	33.4980741
7044	충남	이가일식	일식	천안시 동남구 병천면	127.3129398	36.7953821
7045	서울	더글램핑타이(THE GLAMPING Thai)	기타/세계	용산구 이태원동	126.9925274	37.5385142
7046	강원	우미밥상	한식	강원 양양군 손양면	128.6522242	38.0472779
7047	서울	유쾌한형제	한식	강남구 역삼동	127.0385535	37.5000807
7048	서울	브라더함박 이태원점	양식	용산구 한남동	127.0051795	37.5375402
7049	서울	그릴타이(Grill Thai)	기타/세계	강남구 역삼동	127.0385535	37.5000807
7050	서울	쓰리인어베드(Three in a bed)	카페/주점	강남구 역삼동	127.0385535	37.5000807
7051	제주	제주어장	일식	제주 제주시 용담일동	126.5147748	33.5085871
7052	서울	레뒤플라(let deux plats)	양식	용산구 이태원동	126.9925274	37.5385142
7053	충남	아브라카다브라펍	카페/주점	천안시 동남구 신부동	127.1627982	36.8244648
7054	서울	미미네 서교점	분식	마포구 서교동	126.9187795	37.5538373
7055	서울	까페드파리(Cafe de Paris)	카페/주점	강남구 청담동	127.0504711	37.5243974
7056	강원	지니핸드드립	카페/주점	강원 속초시 교동	128.573907	38.2018975
7057	서울	마운틴80(MOUNTAIN80)	양식	용산구 이태원동	126.9925274	37.5385142
7058	서울	오징어청춘 논현점	한식	강남구 논현동	127.0317166	37.5136758
7059	제주	브릭스제주(BRICKS JEJU)	카페/주점	제주 제주시 구좌읍	126.7954453	33.4980741
7060	서울	山(산)	카페/주점	강남구 논현동	127.0317166	37.5136758
7061	부산	뚜아루즈(Toit Rouge)	기타/세계	부산 부산진구 전포동	129.0710969	35.1575102
