,name,type,review,area
420,이문체육문화센터,스포츠 컴플렉스,1,서울
421,학아재미술관,아트갤러리,2,서울
422,서울장미공원,공원,2,서울
423,Popcond Square,즐길거리 & 랜드마크 • 도심,1,서울
424,서소문공원,공원,2,서울
425,광나루 한강공원,공원,4,서울
426,가회민화박물관,역사박물관,12,서울
427,일민미술관,전문 박물관,7,서울
428,예술의전당 오페라하우스 자유소극장,오페라,22,서울
429,금호미술관,아트뮤지엄,6,서울
430,잠원한강공원,공원,2,서울
431,헌릉과 인릉,역사적인 장소,5,서울
432,뮤지엄 김치간,전문 박물관,4,서울
433,Gana Art Gallery,아트갤러리,4,서울
434,Gongpyeong Historic Sites Museum,역사박물관,2,서울
435,동대문역사관,즐길거리 & 랜드마크 • 역사박물관,1,서울
436,손기정 기념관,역사박물관,7,서울
437,방학천 문화예술거리,인근 지역 • 즐길거리 & 랜드마크,1,서울
438,엔터식스 - 파크에비뉴 한양대점,쇼핑몰,2,서울
439,남산타운문화체육센터,스포츠 컴플렉스,4,서울
440,디보 빌리지,놀이공원 & 테마파크,3,서울
441,전태일 기념관,전문 박물관 • 즐길거리 & 랜드마크,1,서울
442,평화의 소녀상,기념비 및 동상,1,서울
443,백범김구기념관,전문 박물관,5,서울
444,뚝섬 아름다운 나눔장터,벼룩시장 & 재래시장,6,서울
445,천주교 순교성지 새남터 기념성당,즐길거리 & 랜드마크,2,서울
446,그린월,즐길거리 & 랜드마크,4,서울
447,토탈 미술관,아트뮤지엄,2,서울
448,강북 문화정보 도서관,도서관,3,서울
449,신흥시장,벼룩시장 & 재래시장,1,서울
450,간송 미술관,아트뮤지엄,3,서울
451,장충체육관,아레나 & 경기장,1,서울
452,김종영미술관,아트뮤지엄,2,서울
453,신촌박스퀘어,쇼핑몰,1,서울
454,역삼동성당,교회 & 성당,1,서울
455,경교장,역사적인 장소 • 건축물,5,서울
456,용마산,산 • 하이킹 트레일,2,서울
457,한상수자수박물관,전문 박물관,4,서울
458,국립 4.민주 묘지,묘지,6,서울
459,이음피움 봉제역사관,전문 박물관,2,서울
460,삼전도비,기념비 및 동상,4,서울
461,승가사,즐길거리 & 랜드마크 • 건축물,2,서울
462,Sungkyunkwan University,대학 & 학교,1,서울
463,우정 박물관,전문 박물관 • 역사박물관,3,서울
464,e-스포츠 스타디움,아레나 & 경기장,1,서울
465,국립국악박물관,전문 박물관,11,서울
466,황학정국궁전시관,역사적인 장소 • 즐길거리 & 랜드마크,2,서울
467,서울특별시교육청과학전시관,과학박물관,1,서울
468,동대문역사관1398,역사박물관,3,서울
469,광희문,역사적인 장소 • 즐길거리 & 랜드마크,6,서울
470,Mokin Museum,전문 박물관,5,서울
471,광진교8번가,즐길거리 & 랜드마크 • 브리지,8,서울
472,JN 쇼핑몰,쇼핑몰,5,서울
473,솔밭근린공원,공원,1,서울
474,마천시장,벼룩시장 & 재래시장,1,서울
475,북한산영취사,즐길거리 & 랜드마크 • 유서 깊은 산책로,1,서울
476,달맞이 근린공원,공원,1,서울
477,사모바위,즐길거리 & 랜드마크 • 전망대,2,서울
478,우이신설 도시철도,공공 교통시스템,1,서울
479,은평역사한옥박물관,전문 박물관 • 역사박물관,2,서울
480,서소문 성지역사박물관,전문 박물관,3,서울
481,풍납토성,역사적인 장소,4,서울
482,세계장신구박물관,전문 박물관,6,서울
483,Seoul Fashion Center,컨벤션 센터,7,서울
484,서울 세관 박물관,전문 박물관,4,서울
485,에버랜드 스피드웨이,자동차 경주장,1,서울
486,서울 생활사박물관,전문 박물관,1,서울
487,동양 예술 극장,시어터,2,서울
488,시티스타몰,벼룩시장 & 재래시장 • 쇼핑몰,1,서울
489,소공지하도상가,쇼핑몰,2,서울
490,선인상가,쇼핑몰,7,서울
491,하동매실거리,인근 지역 • 경관이 좋은 산책로,2,서울
492,Woori Financial Art Hall,시어터,1,서울
493,살곶이다리,역사적인 장소 • 즐길거리 & 랜드마크,3,서울
494,롯데 월드 예술 극장,시어터,5,서울
495,서울특별시 교육청 정독도서관,도서관,2,서울
496,포스코센터,아트뮤지엄,4,서울
497,서서울호수공원,공원,4,서울
498,돈암문화스포츠센터,스포츠 컴플렉스,1,서울
499,영휘원과 숭인원,역사적인 장소,1,서울
500,예화랑,아트갤러리,1,서울
501,홍제천 인공폭포,물길 • 폭포,2,서울
502,한전아트센터,전문 박물관 • 도심,2,서울
503,대학로 마루아트홀,시어터,1,서울
504,청담삼익시장,벼룩시장 & 재래시장,2,서울
505,심심헌,역사적인 장소 • 건축물,3,서울
506,Korean Film Archive,전문 박물관,2,서울
507,Jong Ie Nara Paper Art Museum,아트뮤지엄,3,서울
508,서촌 세종마을 골목길,역사적인 장소 • 인근 지역,2,서울
509,강풀만화거리,즐길거리 & 랜드마크 • 경관이 좋은 산책로,3,서울
510,Korea Camera Museum,전문 박물관,1,서울
511,바라캇 서울,아트갤러리 • 아트뮤지엄,1,서울
512,정동아트센터,역사적인 장소 • 즐길거리 & 랜드마크,2,서울
513,The Korean National Police Heritage Museum,역사박물관,7,서울
514,석굴암,역사적인 장소 • 건축물,1,서울
515,대중음악전시관,전문 박물관,1,서울
516,대림중앙시장,벼룩시장 & 재래시장,1,서울
517,이촌한강공원,공원,2,서울
518,우면산,산,2,서울
519,용산구문화체육센터,스포츠 컴플렉스,2,서울
520,현대원서공원,공원,7,서울
521,구로아트밸리,아트갤러리,2,서울
522,평화의 소녀상,기념비 및 동상,1,서울
523,평화의 소녀상,기념비 및 동상,3,서울
524,아르코미술관,아트뮤지엄,2,서울
525,Trunk Gallery,아트갤러리,1,서울
526,평화의 소녀상,기념비 및 동상,1,서울
527,서울교육박물관,어린이 박물관 • 역사박물관,3,서울
528,청운문학도서관,즐길거리 & 랜드마크 • 도서관,1,서울
529,Myungsung Presbyterian Church,교회 & 성당,1,서울
530,한의약 박물관,전문 박물관,2,서울
531,평화의 소녀상,기념비 및 동상,1,서울
532,당남리섬,섬,1,서울
533,남구로시장,벼룩시장 & 재래시장,3,서울
534,도봉문화정보도서관,도서관,2,서울
535,분재박물관,전문 박물관,1,서울
536,한강시민공원 광나루수영장,해변 & 풀 클럽,1,서울
537,평화의소녀상,기념비 및 동상,1,서울
538,평화의소녀상,즐길거리 & 랜드마크 • 기념비 및 동상,1,서울
539,겸재정선미술관,역사박물관,2,서울
540,남대문로지하쇼핑센터,쇼핑몰,1,서울
